Country,Region,Date,Age,Cases,Deaths
Denmark,All,2021.06.15,90,1334,364
Denmark,All,2021.06.15,95,467,164
Denmark,All,2021.06.15,100,76,34
Dominican Republic,All,2020.06.15,0,429,8
Dominican Republic,All,2020.06.15,5,465,0
Dominican Republic,All,2020.06.15,10,444,1
Dominican Republic,All,2020.06.15,15,693,2
Dominican Republic,All,2020.06.15,20,1650,7
Dominican Republic,All,2020.06.15,25,2947,11
Dominican Republic,All,2020.06.15,30,2947,15
Dominican Republic,All,2020.06.15,35,2448,21
Dominican Republic,All,2020.06.15,40,2214,25
Dominican Republic,All,2020.06.15,45,2102,33
Dominican Republic,All,2020.06.15,50,1895,48
Dominican Republic,All,2020.06.15,55,1539,57
Dominican Republic,All,2020.06.15,60,1113,57
Dominican Republic,All,2020.06.15,65,760,53
Dominican Republic,All,2020.06.15,70,524,47
Dominican Republic,All,2020.06.15,75,397,44
Dominican Republic,All,2020.06.15,80,358,47
Dominican Republic,All,2020.06.15,85,299,45
Dominican Republic,All,2020.06.15,90,224,38
Dominican Republic,All,2020.06.15,95,146,28
Dominican Republic,All,2020.06.15,100,82,18
Ecuador,All,2020.07.31,0,483,54
Ecuador,All,2020.07.31,5,567,14
Ecuador,All,2020.07.31,10,937,12
Ecuador,All,2020.07.31,15,1723,20
Ecuador,All,2020.07.31,20,3950,38
Ecuador,All,2020.07.31,25,8621,63
Ecuador,All,2020.07.31,30,10131,125
Ecuador,All,2020.07.31,35,8779,157
Ecuador,All,2020.07.31,40,7672,313
Ecuador,All,2020.07.31,45,6514,480
Ecuador,All,2020.07.31,50,6071,700
Ecuador,All,2020.07.31,55,5826,1041
Ecuador,All,2020.07.31,60,4703,1400
Ecuador,All,2020.07.31,65,3711,1573
Ecuador,All,2020.07.31,70,2818,1464
Ecuador,All,2020.07.31,75,1969,1204
Ecuador,All,2020.07.31,80,1459,1003
Ecuador,All,2020.07.31,85,878,620
Ecuador,All,2020.07.31,90,341,243
Ecuador,All,2020.07.31,95,97,73
Ecuador,All,2020.07.31,100,26,18
El Salvador,All,2021.06.14,0,416,0
El Salvador,All,2021.06.14,5,639,0
El Salvador,All,2021.06.14,10,1053,0
El Salvador,All,2021.06.14,15,1960,0
El Salvador,All,2021.06.14,20,4195,0
El Salvador,All,2021.06.14,25,7262,0
El Salvador,All,2021.06.14,30,9373,0
El Salvador,All,2021.06.14,35,10124,0
El Salvador,All,2021.06.14,40,9646,2
El Salvador,All,2021.06.14,45,7952,4
El Salvador,All,2021.06.14,50,6262,5
El Salvador,All,2021.06.14,55,4938,6
El Salvador,All,2021.06.14,60,3747,4
